URL,DSLD_ID,Product_Name,Brand_Name,Bar_Code,Net_Contents,Serving_Size,Product_Type,Supplement_Form,Date Entered into DSLD,Market Status,Suggested_Use
https://dsld.od.nih.gov/label/176599,176599,Maximum Strength Apple Polyphenols 125 mg,Swanson Ultra,87614023014,60 Capsule(s),1 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2018-04-25,On Market,Suggested Use: As a dietary supplement; take one capsule per day with water.
https://dsld.od.nih.gov/label/176600,176600,Indole-3-Carbinol With Resveratrol,Swanson Ultra,87614023151,60 Capsule(s),1 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2018-04-25,On Market,Suggested Use: As a dietary supplement; take one capsule per day with water.
https://dsld.od.nih.gov/label/176601,176601,100% Pure Ribose,Swanson Ultra,87614023229,10.6 Ounce(s); 300 Gram(s),5 Gram(s) [1 scoop],Fiber and Other Nutrients [A1326],Powder [E0162],2018-04-25,On Market,Suggested Use: As a dietary supplement; mix one scoop (5 g) in your food or beverage; as desired; one to four times per day. Scoop included.
https://dsld.od.nih.gov/label/176602,176602,Sensoril 125 mg,Swanson Ultra,87614023762,120 Capsule(s),1 Capsule(s),Botanical [A1306],Capsule [E0159],2018-04-25,On Market,Suggested Use: As a dietary supplement; take one capsule two times per day with water; one in the morning and one in the evening.
https://dsld.od.nih.gov/label/176603,176603,Nattokinase 100 mg,Swanson Ultra,87614024196,30 Capsule(s),1 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2018-08-31,Off Market,Suggested Use: As a dietary supplement; take one capsule per day with water.
https://dsld.od.nih.gov/label/176604,176604,Pharmaceutical Grade AjiPure L-Methionine 500 mg,Swanson Ultra,87614024516,60 Veggie Capsule(s),1 Veggie Capsule(s),Amino acid/Protein [A1305],Capsule [E0159],2018-05-24,On Market,Suggested Use: As a dietary supplement; take one veggie capsule per day with food and water. Do not exceed the recommended dosage.
https://dsld.od.nih.gov/label/176605,176605,Eggshell Membrane,Swanson Ultra,87614024875,30 Veggie Capsule(s),1 Veggie Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2018-05-24,On Market,Suggested Use: As a dietary supplement; take one veggie capsule per day with water.
https://dsld.od.nih.gov/label/176606,176606,Resveratrol 250 mg,Swanson Ultra,87614025308,30 Capsule(s),1 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2018-05-24,On Market,Suggested Use: As a dietary supplement; take one capsule per day with water.
https://dsld.od.nih.gov/label/176607,176607,Resveratrol 500 mg,Swanson Ultra,87614025315,30 Capsule(s),1 Capsule(s),Non-Nutrient/Non-Botanical [A1309],Capsule [E0159],2018-05-24,On Market,Suggested Use: As a dietary supplement; take one capsule per day with water.
https://dsld.od.nih.gov/label/176608,176608,High Potency Activated B-Complex,Swanson Ultra,87614025339,60 Veggie Capsule(s),1 Veggie Capsule(s),Other Combinations [A1325],Capsule [E0159],2018-04-25,Off Market,Suggested Use: As a dietary supplement; take one veggie capsule per day with water.
